,Questions,Answers
0,Which branches are available in Prestige Engineering Campus?,"There are seven branches are available in prestige Engineering for B.Tech programmeAI & DS, Automation & Robotics, CE, CSE, EC, EE, ME"
1,Which branch is better?,All branches have equal importance Choice depends on aptitude of student.
2,What are the scope of CSE/AI &DS?,"There is vast scope after taking CSE or AI & DS branches suppose If you want to become Computer Software Engineer, Software/Mobile Apps/System Developer, System Integrator, Data Analytics Professional, AI Expert and wish to roam around the world then you should choose CSE."
3,What is the scope of EC?,"There is vast scope after taking ECE If you want to become Engineer in the field of IoT, Robotics, Sensor and Transistor, Microwave and Radar, Digital Electronics, Embedded System, VLSI & Nano Engineering, Mobile and Wireless Technologies and Signal and Image Processing etc. you should choose EC."
4,What are the scope of ME/ Automation & Robotics?,"There is vast scope after taking  ME/Automotion & Robotics If you want to become Engineer in the field of Industry 4.0, Aerospace, Marine Engineering, Manufacturing Industry, Power Plant, Automobiles, Mechatronics, Automation & Robotics etc. then you should choose Mechanical Engineering or Automation & Robotics. One must be ready to learn computer programming as well as electronics essentials."
5,What is the scope of CE?,"Civil Engineering has a vast scope in 21st century. If you want to become an engineer in the field of Construction, Environmental, Geotechnical, Material, Structural, Urban Planning, Water resource etc. then you should choose CE."
6,Why Prestige is better than other colleges?,"presitige is better than other  college because Prestige Group is Strong educational group, existing since 25 years, with vast experience of running various colleges in Indore, Dewas and Gwalior.AICTE Approved/ RGPV Affiliated/ NBA Accredited for CSE & ECE In 2020 CE & EE & ME applying for NBA accreditation Participated in NIRF & ARIIA Ranking of MHRD, Govt. of India. Experience qualified faculty, Staff, Strong focus on teaching, skill development & All round development of student. Many faculty and Ph.D. and qualified from IIT/IISc or reputed universities.Faculty are also involved in research and consultancy. Advance Laboratories and Center of Excellences are existing.Very good Placement record and support for Entrepreneurship."
7,Which college is better to get admission?,"Any Good College should have 3F- Faculty, Facilities & Forums"
8,How many seats are in M.Tech?,Total  seat availble in M.Tech (CAD/CAM)  is18
9,How many seats are in B.Tech?,Total 540 seats are in B.Tech
10,How many seats are in Diploma?,Total 60 seats are in Diploma (ME-60)
11,Why Engineering?,"If you enjoy problem solving for industry or society, you have interests in Mathematics and Science, your dream is to design Machine or System, your aim is to work in a technical enterprise than definitely you should join Engineering."
12,What is the Admission Process for M.Tech?,"Steps are 1. Registration, 2. Document Verification,3. Choice Filling, 4. Allotment , 5. Reporting to Institute. All seats are allotted by DTE online counseling"
13,What is the Admission Process for B.Tech?,"Steps are 1. Registration, 2. Document Verification,3. Choice Filling, 4. Allotment , 5. Reporting to Institute. All seats are allotted by DTE online counseling"
14,What is the Admission Process for Diploma?,"Steps are 1. Registration, 2. Document Verification,3. Choice Filling, 4. Allotment , 5. Reporting to Institute. All seats are allotted by DTE online counseling"
15,Eligibility Criteria for M.Tech?,Gate Score Card  & B.Tech Degree
16,Eligibility Criteria for B.Tech?,"JEE-Main & 12th Class passed with PCM Marks must be 120 for SC/ST, OBC & 135 for others required"
17,Eligibility Criteria for Diploma?,PPT Score Card & 10th Class Passed
18,Is there any Scholarship Facility Available?,"Yes, there are two scholarship, one from government and other from Prestige Education Foundation"
19,What is Fee Structure for M.Tech?,M.Tech(CAD/CAM)- 70000/- per year*** Likely to increase as per AFRC Govt. of MP
20,What is Fee Structure for B.Tech?,"For B.Tech- (CSE, AI&DS, Robotics) - 72000/- per year, (CE, EC, EE, ME) - 64000/- per year*** Likely to increase as per AFRC Govt. of MP"
21,What is Fee Structure for Diploma?,For Diploma (ME) 40000/- per year*** Likely to increase as per AFRC Govt. of MP
22,Is there any Bus facility available in Prestige Engineering College?,"Yes, Available"
23,What is fee for bus facility?,"For Indore 10000/- per yearFor Dewas, Mhow, Pithampur 12000/- per year"
24,Location of College ?,Vijay Nagar in heart of the city
25,Other Facilities ?,"Other Facilities are Training, Cocubes Training, Internship, Industrial Visit, IIC, E-Cell, LMS-(Moodle), Acc-Soft for Online Attendance, Sports Facility, Extracurricular activity & Basic Facilities like - Light, Water, Solar Power Plant, Rain Water Harvesting, Electricity Generator, Well Equipped Labs, WiFi-Internet 70MBPS leased line, Lift, Auditorium, Girls Common Room etc. Green Lawn, Playground"
26,Is there any hostel facility available?,PIEMR do not have Hostel. Many of hostels are available nearby institute and in Indore at convenient locations
27,Is there any canteen facility available in campus?,Canteen facility is available.
28,What about the Lab facility?,"All departments are having very well equipped laboratories for regular academics as well as advance Labs for Advance technology learning, Projects & Research.Data Analytics, Artificial Intelligence & Machine Learning, Prototyping (CNC Machine, 3D Printers),Coming up (Under Discussion)Robotics Center of Excellence (Tata Motors) Industry 4.0 Center of Excellence (Siemens) AI-ML Center of excellence (Find-ability-science)All departments are having very well equipped laboratories for regular academics as well as advance Labs for Advance technology learning, Projects & Research.Data Analytics, Artificial Intelligence & Machine Learning, Prototyping (CNC Machine, 3D Printers),Coming up (Under Discussion)Robotics Center of Excellence (Tata Motors) Industry 4.0 Center of Excellence (Siemens) AI-ML Center of excellence (Find-ability-science)"
29,Tell me about ragging in campus?,"There is no ragging in campus to restrict such activity we have Management, Faculty & Staff committed to curb ragging. Very Strictly following Govt. NormsAnti-Ragging Committee & Anti-Ragging Squad are always alert and PIEMR take extra effort for Ragging Free Campus.All senior students are cooperative.Action as per Govt. rules"""
30,Is there any sports Facility available or not?,"Yes, Football, Volleyball, T.T., Basketball, Cricket & Indoor games. Students encourage participating in sports. College organizes various Tournaments at Zonal and State Level. PIEMR brought many laurels at RGPV university level and some Players are representing University, State & National Level"""
31,Extra Activity?,"Extra Activities are Seminars, GD, Guest Lecture, Workshops, Annual Function and Special Activities, All these are organized irrespective of Departments, on regular basis. Award Winner- ISTE Student Chapter, NSS Camp Extra Activities are Seminars, GD, Guest Lecture, Workshops, Annual Function and Special Activities, All these are organized irrespective of Departments, on regular basis. Award Winner- ISTE Student Chapter, NSS Camp ."
32,Is there any Dress Code?,"Yes, on special occasions Formal with PIEMR Blazer is compulsory. For Regular classes there is no Uniform as such On special occasions Formal with PIEMR Blazer is compulsory. For Regular classes there is no Uniform as such"
33,College Visit Facilities (During Counseling)?,On request Pick up may be provided upto 5 KM but one can reach PIEMR very easily as public transport & taxi services are available in city
34,What is the required documents for admission?,Required Documents are Online allotment slip/ Admission slipJEE/ MP PPT Score CardMark sheet of 10th & 12th class (If not submitted in counseling)Diploma**Migration CertificateDomicile CertificateCharacter CertificateTransfer CertificateIncome & Cast Certificate if applicable Gap Certificate if applicable Photographs 10Aadhar Card Required Documents are Online allotment slip/ Admission slipJEE/ MP PPT Score CardMark sheet of 10th & 12th class (If not submitted in counseling)Diploma**Migration CertificateDomicile CertificateCharacter CertificateTransfer CertificateIncome & Cast Certificate if applicable Gap Certificate if applicable Photographs 10Aadhar Card
35,What is College Timing?,9:00 am to 4:30 pm (Monday to Friday) 9:00 am to 1:00 pm (Saturday)RGPV University calendar followed for holidays 9:00 am to 4:30 pm (Monday to Friday) 9:00 am to 1:00 pm (Saturday)RGPV University calendar followed for holidays
36,Contact Person (In case of any query)?,Contact Person  Prof. Rajeev Raghuvanshi  8103129701 Prof. Md Ilyas  9827122226 Contact Person  Prof. Rajeev Raghuvanshi  8103129701 Prof. Md Ilyas  9827122226
37,What is PIEMR PGDMRBA Program?,"PIEMR PGDMRBA is a two year full time Post Graduate Diploma Management Research in Business Analytics designed to equip participants with relevant knowledge, skills and attitude to deal with ever changing business environment with confidence and clarity. Business Analytics is a combination of Data Analytics, Business Intelligence and Computer Programming.It is the science of analysing data to find out patterns that will be helpful in developing strategies. Its usage can be found in almost every industry PIEMR PGDMRBA is a two year full time Post Graduate Diploma Management Research in Business Analytics designed to equip participants with relevant knowledge, skills and attitude to deal with ever changing business environment with confidence and clarity. Business Analytics is a combination of Data Analytics, Business Intelligence and Computer Programming.It is the science of analysing data to find out patterns that will be helpful in developing strategies. Its usage can be found in almost every industry"
38,Can I complete the course on a part-time basis?,"No, it is a full time program. Sorry, there is no part-time course available"
39,Is it recognized by AICTE?,Yes. The PIEMR PGDMRBA Program is recognized by the All India Council for Technical Education (AICTE).
40,How PGD-MRBA is it different from MBA?,It is more experiential course and industry-oriented. Only autonomous institutes having autonomy can run this course. Autonomy helps to keep curriculum as per the  Industry requirements.  It is more experiential course and industry-oriented. Only autonomous institutes having autonomy can run this course. Autonomy helps to keep curriculum as per the  Industry requirements.
41,How many students get admission per year in PGD-MRBA?,Institute has limited intake of 60 students per year Total 60 students can get admission per year in PGD-MRBA
42,What is the eligibility criterion for PGD-MRBA?,Eligibilty Creteria for PGD-MRBA  Graduate (10+2+3 or 4) with minimum 50% and 45% for SC/ST candidates from a UGC recognized UniversityAny management entrance exam should be given CAT / MAT / XAT / ATMA / CMAT Eligibilty Creteria for PGD-MRBA  Graduate (10+2+3 or 4) with minimum 50% and 45% for SC/ST candidates from a UGC recognized UniversityAny management entrance exam should be given CAT / MAT / XAT / ATMA / CMAT
43,What is the selection process in PGD-MRBA?,"Selection Process for PGD-MRBA are Based on valid score of CAT / MAT / XAT / ATMA / CMAT and graduation score you  need to register on PIEMR PGDM Online Admission Portal for the course with Rs. 1500/-PI and SOP Submission is the second stage (Virtually or Physically).Merit List (on the basis of 35% of Management Entrance Test, 20% of Interview , Academic Performance X, XII , UG / PG Performance 20%), Extra Curricular Activities 5% , SOP 20%)  Selection Process for PGD-MRBA are Based on valid score of CAT / MAT / XAT / ATMA / CMAT and graduation score you  need to register on PIEMR PGDM Online Admission Portal for the course with Rs. 1500/-PI and SOP Submission is the second stage (Virtually or Physically).Merit List (on the basis of 35% of Management Entrance Test, 20% of Interview , Academic Performance X, XII , UG / PG Performance 20%), Extra Curricular Activities 5% , SOP 20%)"
44,What kind of Summer Internships/ certifications do students get?,"PIEMR has dedicated training and placement cell which facilitates students in requisite training/grooming and suitable placement.During first semester, all students go for various internships of 2-4 weeks in various events and given some live projects of Industry and Institute Level.After second semester minimum 45 days internship in industry is taken care by Placement Cell. Every semester there will be minimum 2-3 certifications (National / Internationally Level). In addition students do live projects with industry, go for industrial visits etc.  PIEMR has dedicated training and placement cell which facilitates students in requisite training/grooming and suitable placement.During first semester, all students go for various internships of 2-4 weeks in various events and given some live projects of Industry and Institute Level.After second semester minimum 45 days internship in industry is taken care by Placement Cell. Every semester there will be minimum 2-3 certifications (National / Internationally Level). In addition students do live projects with industry, go for industrial visits etc."
45,What is the Placement scenario of the Institute?,"Prestige is known for Placements. PIEMR BTech till now has Average package of 4 LPA and highest Package of 16 LPA. We have a healthy relationship with corporate who from Day 0 comes for Placement Drives. Some of our top recruiters are TCS, Wipro, Capgemini, Ericsson, Aditya Birla, Infosys, Byjus, Impetus, Bridgestone , John Deere, Bridgestone, IBM , Videocon, Cipla  Every company has there own recruitment policies it vary company to company."
46,What is the Placement scenario of the PGDM?,As this will be our second batch we ensure PGDM students to certainly get chance in at least 2 Companies with one Dream Company in hand. The Industries in various sectors 1. Telecom 2. Banking 3. Consulting 4. Healthcare 5. Automotive6. Pharma 7. IT And many others are well associated for hiring PGDM (Business Analytics Professionals) Every company has there own recruitment policies it vary company to company.
47,What is the syllabus / tools / certifications under PGDM course?,"Python, Weka , Tableau, Advanced Excel, ROR, Microsoft BI , Digital Marketing tools are the top Data Analysis and Data Visualizing tools and we ensure timely certifications of all such tools from recognized Institutions Collaborations. Syllabus is designed by Board of Studies of Insutry Members as well as top Academicians as per the Industry Requirements. Includes 70% management & 30% practical & technical tools Python, Weka , Tableau, Advanced Excel, ROR, Microsoft BI , Digital Marketing tools are the top Data Analysis and Data Visualizing tools and we ensure timely certifications of all such tools from recognized Institutions Collaborations. Syllabus is designed by Board of Studies of Insutry Members as well as top Academicians as per the Industry Requirements. Includes 70% management & 30% practical & technical tools"
48,What is the count of the branch in PIEMR Indore ?,Seven
49,Which is the better branch?,All branches have equal importance Choice depends on aptitude of student.
50,Tell me why should I choose CSE/AI & DS ?,"If you want to become Computer Software Engineer, Software/Mobile Apps/System Developer, System Integrator, Data Analytics Professional, AI Expert and wish to roam around the world then you should choose CSE."
51,What are the benefits of choosing EC ?,"There are so many benefits of Choosing ECE branch like you may become Engineer in the field of IoT, Robotics, Sensor and Transistor, Microwave and Radar, Digital Electronics, Embedded System, VLSI & Nano Engineering, Mobile and Wireless Technologies and Signal and Image Processing etc. you should choose EC."
52,What are the benefits of choosing ME/Automotion & Robotics?,"There are so many benefits of Choosing ME/Automotion & Robotics branch like you  may become Engineer in the field of Industry 4.0, Aerospace, Marine Engineering, Manufacturing Industry, Power Plant, Automobiles, Mechatronics, Automation & Robotics etc. then you should choose Mechanical Engineering or Automation & Robotics. One must be ready to learn computer programming as well as electronics essentials."
53,What are the benefits of choosing CE ?,"There are so many benefits of Choosing CE branch like you may become an engineer in the field of Construction, Environmental, Geotechnical, Material, Structural, Urban Planning, Water resource etc."
54,Why Prestige?,"Because prestige Engineering having  some following qualities that is  AICTE Approved/ RGPV Affiliated/ NBA Accredited for CSE & ECE In 2020 CE & EE & ME applying for NBA accreditation Participated in NIRF & ARIIA Ranking of MHRD, Govt. of India. Experience qualified faculty, Staff, Strong focus on teaching, skill development & All round development of student. Many faculty and Ph.D. and qualified from IIT/IISc or reputed universities.Faculty are also involved in research and consultancy. Advance Laboratories and Center of Excellences are existing.Very good Placement record and support for Entrepreneurship."
55,Which is a better college ?,"Any Good College should have 3F- Faculty, Facilities & Forums"
56,Available seats for M. Tech are?,Available seat for  M.Tech (CAD/CAM)  is18
57,Available seats for B. Tech are?,"Available seats in B.Tech (Automation & Robotics 60, AI & DS 60, CE- 60, CSE-180, EC- 60, EE-60, ME-60)"
58,Available seats for Diploma are?,Available seats in diploma ME-60
59,Why do you want to do Engineering ?,"If you enjoy problem solving for industry or society, you have interests in Mathematics and Science, your dream is to design Machine or System, your aim is to work in a technical enterprise than definitely you should join Engineering."
60,Admission Procedure for M.Tech is?,"Admission process follows following steps  1. Registration, 2. Document Verification,3. Choice Filling, 4. Allotment , 5. Reporting to Institute. All seats are allotted by DTE online counseling"
61,Admission Procedure for B.Tech is?,"Admission process follows following steps  1. Registration, 2. Document Verification,3. Choice Filling, 4. Allotment , 5. Reporting to Institute. All seats are allotted by DTE online counseling"
62,Admission Procedure for Diploma is?,"Admission process follows following steps  1. Registration, 2. Document Verification,3. Choice Filling, 4. Allotment , 5. Reporting to Institute. All seats are allotted by DTE online counseling"
63,Qualification required for M.Tech.?,Gate Score Card  & B.Tech Degree
64,Qualification required for B.Tech.?,"JEE-Main & 12th Class passed with PCM Marks must be 120 for SC/ST, OBC & 135 for others required"
65,Qualification required for Diploma.?,PPT Score Card & 10th Class Passed
66,Availibility of scholarship facility.?,"Yes, there are two scholarship, one from government and other from Prestige Education Foundation"
67,Fee structure of M.Tech?,M.Tech(CAD/CAM)- 70000/- per year*** Likely to increase as per AFRC Govt. of MP
68,Fee structure of B.Tech?,"For B.Tech- (CSE, AI&DS, Robotics) - 72000/- per year, (CE, EC, EE, ME) - 64000/- per year*** Likely to increase as per AFRC Govt. of MP"
69,Fee structure of Diploma?,For Diploma (ME) 40000/- per year*** Likely to increase as per AFRC Govt. of MP
70,Does prestige provide bus facility?,"Yes, Available"
71,How much does bus fee cost?,"For Indore 10000/- per yearFor Dewas, Mhow, Pithampur 12000/- per year"
72,Where is the college located?,Vijay Nagar in heart of the city
73,What are the other facilities that prestige provide?,"Other Facilities are Training, Cocubes Training, Internship, Industrial Visit, IIC, E-Cell, LMS-(Moodle), Acc-Soft for Online Attendance, Sports Facility, Extracurricular activity & Basic Facilities like - Light, Water, Solar Power Plant, Rain Water Harvesting, Electricity Generator, Well Equipped Labs, WiFi-Internet 70MBPS leased line, Lift, Auditorium, Girls Common Room etc. Green Lawn, Playground"
74,Is there a hostel facility at Prestige?,PIEMR do not have Hostel. Many of hostels are available nearby institute and in Indore at convenient locations
75,Is there a canteen at the campus?,Canteen facility is available.
76,Is lab facility available at Prestige?,"Yes, it's in Prestige."
77,Is Prestige an Anti-Ragging campus?,"Yes,Anti-Ragging is in Prestige."
78,Is there a sports team at prestige?,"Yes,sports team is in Prestige."
79,Are there any extra activities?,"Yes,extra activities in prestige."
80,What is the dress code followed by the college?,"Yes, on special occasions Formal with PIEMR Blazer is compulsory. For Regular classes there is no Uniform as such"
81,what are the facilities provided during counselling visits?,"Transport Facility, Guide for College Visit"
82,Required documents for the admission are?,Required Documents are Online allotment slip/ Admission slipJEE/ MP PPT Score CardMark sheet of 10th & 12th class (If not submitted in counseling)Diploma**Migration CertificateDomicile CertificateCharacter CertificateTransfer CertificateIncome & Cast Certificate if applicable Gap Certificate if applicable Photographs 10Aadhar Card
83,How long the college timings are?,730 Hour Per Day
84,Whom should you contact in case of any query?,Contact Person  Prof. Rajeev Raghuvanshi  8103129701 Prof. Md Ilyas  9827122226
85,What do you mean by PIEMR PGDMRBA?,"PIEMR PGDMRBA is a two year full time Post Graduate Diploma Management Research in Business Analytics designed to equip participants with relevant knowledge, skills and attitude to deal with ever changing business environment with confidence and clarity. Business Analytics is a combination of Data Analytics, Business Intelligence and Computer Programming.It is the science of analysing data to find out patterns that will be helpful in developing strategies. Its usage can be found in almost every industry"
86,Is there a part-time course facility?,"No, it is a full time program."
87,Does prestige have AICTE recognition?,Yes. The PIEMR PGDMRBA Program is recognized by the All India Council for Technical Education (AICTE).
88,What is the difference between PIMR PGDMRBA and MBA?,It is more experiential course and industry-oriented. Only autonomous institutes having autonomy can run this course. Autonomy helps to keep curriculum as per the  Industry requirements.
89,How many seats are there in PGD-MRBA?,Total 60 seats are there for PGD-MRBA
90,Qualification required  for PGD-MRBA?,Qualification required for PGD-MRBA  Graduate (10+2+3 or 4) with minimum 50% and 45% for SC/ST candidates from a UGC recognized UniversityAny management entrance exam should be given CAT / MAT / XAT / ATMA / CMAT
91,How is selection process conducted in PGD-MRBA?,"Selection Process for PGD-MRBA are Based on valid score of CAT / MAT / XAT / ATMA / CMAT and graduation score you  need to register on PIEMR PGDM Online Admission Portal for the course with Rs. 1500/-PI and SOP Submission is the second stage (Virtually or Physically).Merit List (on the basis of 35% of Management Entrance Test, 20% of Interview , Academic Performance X, XII , UG / PG Performance 20%), Extra Curricular Activities 5% , SOP 20%)"
92,Which type of Summer Internhip/ certifications are provided to students?,"PIEMR has dedicated training and placement cell which facilitates students in requisite training/grooming and suitable placement.During first semester, all students go for various internships of 2-4 weeks in various events and given some live projects of Industry and Institute Level.After second semester minimum 45 days internship in industry is taken care by Placement Cell. Every semester there will be minimum 2-3 certifications (National / Internationally Level). In addition students do live projects with industry, go for industrial visits etc."
93,How the placement scenario is conducted ?,Every company has there own recruitment policies it vary company to company.
94,How the placement scenario for PGDM is conducted ?,Every company has there own recruitment policies it vary company to company.
95,Where can the syllabus/ tools/ certification under PGDM course be found ?,you can find all these at AICTE website.
96,List down all the branches ofB.Tech at PIEMR Indore ?,List of Branches for B.Tech 1) AI & DS  2) Automation & Robotics 3) CE 4)  CSE 5) EC 6) EE 7) ME
97,Which branch is suitable for me?,All the Branches are equally good and the selction of  suiatable branch is depends on your aptitude and interest
98,What are the benefits of chossing CSE/AI & DS ?,"There are so many benefits of Choosing CSE or AI & DS Branch like you may  become Computer Software Engineer, Software/Mobile Apps/System Developer, System Integrator, Data Analytics Professional, AI Expert and also if you wish to roam around the world then you should choose CSE."
99,Why should I choose EC?,"If you want to become Engineer in the field of IoT, Robotics, Sensor and Transistor, Microwave and Radar, Digital Electronics, Embedded System, VLSI & Nano Engineering, Mobile and Wireless Technologies and Signal and Image Processing etc. you should choose EC."
100,Why should I choose ME/Automotion & Robotics?,"If you want to become Engineer in the field of Industry 4.0, Aerospace, Marine Engineering, Manufacturing Industry, Power Plant, Automobiles, Mechatronics, Automation & Robotics etc. then you should choose Mechanical Engineering or Automation & Robotics."
101,Why should i choose CE?,"If you want to become an engineer in the field of Construction, Environmental, Geotechnical, Material, Structural, Urban Planning, Water resource etc. then you should choose CE."
102,Do you think prestige is better than other colleges?,"yes defintely presitige is better than other  college because Prestige Group is Strong educational group, existing since 25 years, with vast experience of running various colleges in Indore, Dewas and Gwalior.AICTE Approved/ RGPV Affiliated/ NBA Accredited for CSE & ECE In 2020 CE & EE & ME applying for NBA accreditation Participated in NIRF & ARIIA Ranking of MHRD, Govt. of India. Experience qualified faculty, Staff, Strong focus on teaching, skill development & All round development of student. Many faculty and Ph.D. and qualified from IIT/IISc or reputed universities.Faculty are also involved in research and consultancy. Advance Laboratories and Center of Excellences are existing.Very good Placement record and support for Entrepreneurship."
103,Which is best college to get enrolloed for ?,"Any Good College should have 3F- Faculty, Facilities & Forums"
104,Number of seats available for M. Tech are ?,Available seat for  M.Tech (CAD/CAM)  is18
105,Number of seats available for B. Tech are ?,"Available seats in B.Tech (Automation & Robotics 60, AI & DS 60, CE- 60, CSE-180, EC- 60, EE-60, ME-60)"
106,Number of seats available for Diploma are ?,Available seats in diploma ME-60
107,Why do I choose Engineering?,"If you enjoy problem solving for industry or society, you have interests in Mathematics and Science, your dream is to design Machine or System, your aim is to work in a technical enterprise than definitely you should join Engineering."
